Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)		Begin Path	File Offset (s)	Begin File	Site	hour	fileDate	date(raven)	Tag 1	Tag 2	notes	Analyst	Begin Path (old)
151	Spectrogram 1	1	137015.6058	137019.6412	18.581	34.6		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	50675.0007	nn05d_20190424_000000.wav	nn05d	14	24-Apr-19	24-Apr-19			marginal	jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
152	Spectrogram 1	1	137040.9693	137043.5888	12.815	29.474		L:\ELP\Projects\Nouabale\nn_sounds\nn05d\nn05d_20190424_000000.wav	50700.3642	nn05d_20190424_000000.wav	nn05d	14	24-Apr-19	24-Apr-19			marginal	jll	L:\ELP\Projects\Nouabale\nn_sounds\nn_201901_jan\nn05d_201901_jan\nn05d_20190424_000000.wav
153	Spectrogram 1	1	1857125.157	1857128.623	18.5	37.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180312_000000.wav	43967.3291	nn05e_20180312_000000.wav	nn05e	12	12-Mar-18	12-Mar-18			odd shape but wiggles at start look more like ele than vehicle	edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05e_201801_jan\nn05e_20180312_000000.wav
154	Spectrogram 1	1	2072951.364	2072953.782	22.3	42.7		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180603_000000.wav	771.7209	nn05e_20180603_000000.wav	nn05e	0	3-Jun-18	3-Jun-18				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05e_201801_jan\nn05e_20180603_000000.wav
155	Spectrogram 1	1	2073430.457	2073434.317	19.7	43.4		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180603_000000.wav	1250.8139	nn05e_20180603_000000.wav	nn05e	0	3-Jun-18	3-Jun-18				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05e_201801_jan\nn05e_20180603_000000.wav
156	Spectrogram 1	1	2073582.573	2073584.294	23	36.2		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180603_000000.wav	1402.9301	nn05e_20180603_000000.wav	nn05e	0	3-Jun-18	3-Jun-18				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05e_201801_jan\nn05e_20180603_000000.wav
157	Spectrogram 1	1	2073645.503	2073649.922	21.7	44		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180603_000000.wav	1465.8604	nn05e_20180603_000000.wav	nn05e	0	3-Jun-18	3-Jun-18				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05e_201801_jan\nn05e_20180603_000000.wav
158	Spectrogram 1	1	2081392.248	2081397.55	25.6	42.7		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180603_000000.wav	9212.6046	nn05e_20180603_000000.wav	nn05e	2	3-Jun-18	3-Jun-18				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05e_201801_jan\nn05e_20180603_000000.wav
159	Spectrogram 1	1	2100416.546	2100419.527	29.609	45.057		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180603_000000.wav	28236.9028	nn05e_20180603_000000.wav	nn05e	7	3-Jun-18	3-Jun-18			marginal	edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05e_201801_jan\nn05e_20180603_000000.wav
160	Spectrogram 1	1	2100427.038	2100429.457	23	40.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180603_000000.wav	28247.3953	nn05e_20180603_000000.wav	nn05e	7	3-Jun-18	3-Jun-18				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn05e_201801_jan\nn05e_20180603_000000.wav
161	Spectrogram 1	1	7504265.062	7504267.224	33.408	54.566		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180701_000000.wav	78964.8295	nn05e_20180701_000000.wav	nn05e	21	1-Jul-18	1-Jul-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180701_000000.wav
162	Spectrogram 1	1	7504268.677	7504271.062	35.635	48.998		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180701_000000.wav	78968.4444	nn05e_20180701_000000.wav	nn05e	21	1-Jul-18	1-Jul-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180701_000000.wav
163	Spectrogram 1	1	7504711.969	7504716.18	31.18	44.543		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180701_000000.wav	79411.7363	nn05e_20180701_000000.wav	nn05e	22	1-Jul-18	1-Jul-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180701_000000.wav
164	Spectrogram 1	1	7504968.553	7504971.199	32.294	47.884		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180701_000000.wav	79668.3203	nn05e_20180701_000000.wav	nn05e	22	1-Jul-18	1-Jul-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180701_000000.wav
165	Spectrogram 1	1	7505226.329	7505228.081	30.067	44.543		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180701_000000.wav	79926.0965	nn05e_20180701_000000.wav	nn05e	22	1-Jul-18	1-Jul-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180701_000000.wav
166	Spectrogram 1	1	7505342.864	7505348.454	27.84	46.771		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180701_000000.wav	80042.6307	nn05e_20180701_000000.wav	nn05e	22	1-Jul-18	1-Jul-18				sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180701_000000.wav
167	Spectrogram 1	1	7505677.447	7505681.621	32.294	45.657		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180701_000000.wav	80377.2146	nn05e_20180701_000000.wav	nn05e	22	1-Jul-18	1-Jul-18			marginal	sag	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180701_000000.wav
168	Spectrogram 1	1	2266294.354	2266298.863	22.7	57.4		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	21434.0122	nn05e_20180802_000000.wav	nn05e	5	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
169	Spectrogram 1	1	2266950.441	2266952.453	11.4	38.5		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	22090.0992	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
170	Spectrogram 1	1	2267007.869	2267010.031	27.1	51.7		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	22147.5278	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
171	Spectrogram 1	1	2267538.105	2267542.093	14.5	41		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	22677.7639	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
172	Spectrogram 1	1	2267846.118	2267850.515	21.4	55.5		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	22985.7764	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
173	Spectrogram 1	1	2267888.826	2267894.267	17.7	54.9		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	23028.4845	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18		m		yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
174	Spectrogram 1	1	2267988.273	2267989.857	25.9	44.414		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	23127.9316	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18			short	yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
175	Spectrogram 1	1	2267990.975	2267992.987	27.1	48.6		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	23130.6334	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
176	Spectrogram 1	1	2268098.826	2268101.024	14.5	53		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	23238.4844	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18			faint	yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
177	Spectrogram 1	1	2269363.521	2269367.882	27.7	45.4		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	24503.1801	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
178	Spectrogram 1	1	2269437.347	2269440.701	25.2	50.5		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	24577.0061	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
179	Spectrogram 1	1	2269450.279	2269454.341	25.9	48.6		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	24589.9378	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
180	Spectrogram 1	1	2269512.515	2269514.602	22.1	44.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	24652.1739	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
181	Spectrogram 1	1	2269519.633	2269523.062	22.7	44.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	24659.2919	nn05e_20180802_000000.wav	nn05e	6	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
182	Spectrogram 1	1	2270710.279	2270714.602	24.6	50.5		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	25849.9378	nn05e_20180802_000000.wav	nn05e	7	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
183	Spectrogram 1	1	2273023.074	2273026.316	20.2	54.2		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	28162.7329	nn05e_20180802_000000.wav	nn05e	7	2-Aug-18	2-Aug-18			marginal	yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
184	Spectrogram 1	1	2273035.335	2273039.024	21.4	47.3		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	28174.9938	nn05e_20180802_000000.wav	nn05e	7	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
185	Spectrogram 1	1	2273078.826	2273082.702	21.4	47.3		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	28218.4845	nn05e_20180802_000000.wav	nn05e	7	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
186	Spectrogram 1	1	2273095.782	2273098.801	27.7	52.3		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	28235.4409	nn05e_20180802_000000.wav	nn05e	7	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
187	Spectrogram 1	1	2273119.335	2273123.211	24.6	49.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	28258.9938	nn05e_20180802_000000.wav	nn05e	7	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
188	Spectrogram 1	1	2283698.006	2283704.826	16.4	47.9		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	38837.6645	nn05e_20180802_000000.wav	nn05e	10	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
189	Spectrogram 1	1	2283871	2283875.807	15.8	44.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	39010.6583	nn05e_20180802_000000.wav	nn05e	10	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
190	Spectrogram 1	1	2283884.416	2283888.739	24.6	41.6		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	39024.0745	nn05e_20180802_000000.wav	nn05e	10	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
191	Spectrogram 1	1	2283910.279	2283913.037	19.5	45.4		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	39049.9377	nn05e_20180802_000000.wav	nn05e	10	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
192	Spectrogram 1	1	2284462.801	2284468.987	10.1	39.7		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	39602.4595	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
193	Spectrogram 1	1	2284465.484	2284469.248	24.6	55.5		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	39605.1427	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
194	Spectrogram 1	1	2285296.689	2285300.267	22.1	44.1		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	40436.3478	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
195	Spectrogram 1	1	2286195.981	2286198.403	22.7	42.9		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	41335.6398	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
196	Spectrogram 1	1	2286957.795	2286959.509	33.4	47.9		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	42097.4534	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
197	Spectrogram 1	1	2286958.41	2286965.453	23	43.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	42098.0682	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
198	Spectrogram 1	1	2286967.037	2286970.838	16.4	46		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	42106.6956	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
199	Spectrogram 1	1	2286987.273	2286991.074	24	59.3		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	42126.9316	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
200	Spectrogram 1	1	2286989.472	2286992.229	32.8	46.7		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	42129.1303	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
201	Spectrogram 1	1	2287201.67	2287204.913	25.2	42.3		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	42341.3291	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
202	Spectrogram 1	1	2287265.285	2287267	26.5	58.6		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	42404.9441	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
203	Spectrogram 1	1	2287346.975	2287352.341	19.5	49.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	42486.6335	nn05e_20180802_000000.wav	nn05e	11	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
204	Spectrogram 1	1	2288415.795	2288419.67	8.2	37.8		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	43555.4534	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
205	Spectrogram 1	1	2289364.428	2289369.459	10.1	45.4		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	44504.0869	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
206	Spectrogram 1	1	2289443.285	2289446.49	22.7	47.3		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	44582.9441	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
207	Spectrogram 1	1	2289687.496	2289694.391	17	51.7		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	44827.1553	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
208	Spectrogram 1	1	2289945.012	2289951.161	18.9	32.162		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	45084.6707	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
209	Spectrogram 1	1	2289947.677	2289949.95	23.333	44.144		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	45087.3352	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
210	Spectrogram 1	1	2290044.18	2290051.074	14.5	45.4		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	45183.8385	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
211	Spectrogram 1	1	2290091.956	2290096.316	22.7	50.5		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	45231.6149	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
212	Spectrogram 1	1	2290529.229	2290532.099	23.808	44.51		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	45668.8883	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
213	Spectrogram 1	1	2290539.962	2290544.583	20.185	55.379		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	45679.6211	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
214	Spectrogram 1	1	2290555.652	2290558.67	20.702	42.44		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	45695.3105	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
215	Spectrogram 1	1	2290612.316	2290616.229	19.667	49.168		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	45751.9751	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
216	Spectrogram 1	1	2290803.683	2290806.142	20.185	40.37		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	45943.3416	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
217	Spectrogram 1	1	2290972.316	2290976.863	18.891	46.322		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	46111.9751	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
218	Spectrogram 1	1	2291051.993	2291056.428	24.325	56.932		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	46191.6521	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
219	Spectrogram 1	1	2291075.695	2291077.708	24.843	49.686		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	46215.354	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
220	Spectrogram 1	1	2291140.391	2291142.925	23.808	51.756		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	46280.0496	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
221	Spectrogram 1	1	2291250.888	2291254.13	28.466	45.545		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	46390.5466	nn05e_20180802_000000.wav	nn05e	12	2-Aug-18	2-Aug-18			marginal	yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
222	Spectrogram 1	1	2292758.248	2292760.633	27.948	44.51		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	47897.9068	nn05e_20180802_000000.wav	nn05e	13	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
223	Spectrogram 1	1	2299121.621	2299125.459	19.667	46.063		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20180802_000000.wav	54261.2795	nn05e_20180802_000000.wav	nn05e	15	2-Aug-18	2-Aug-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn05e_201804_apr\nn05e_20180802_000000.wav
224	Spectrogram 1	1	2433679.912	2433683.042	12	59.9		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20181106_000000.wav	16138.3602	nn05e_20181106_000000.wav	nn05e	4	6-Nov-18	6-Nov-18				yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201809_sep\nn05e_201809_sep\nn05e_20181106_000000.wav
225	Spectrogram 1	1	2436502.073	2436506.657	18.9	54.9		L:\ELP\Projects\Nouabale\nn_sounds\nn05e\nn05e_20181106_000000.wav	18960.5216	nn05e_20181106_000000.wav	nn05e	5	6-Nov-18	6-Nov-18			faint	yg	L:\ELP\Projects\Nouabale\nn_sounds\nn_201809_sep\nn05e_201809_sep\nn05e_20181106_000000.wav
